price,square,apartment_type,apartment_floor,total_floors,adress,metro_station,distance_to_station
25499900,118,4-к. квартира,19,21,"Балаклавский пр-т, 15В",Чертановская,0.9
11000000,"39,5",1-к. квартира,7,8,"б-р Андрея Тарковского, 8",Рассказовка,1.0
14100000,54,2-к. квартира,9,16,"Зюзинская ул., 4к1",Зюзино,1.2
43500000,56,2-к. квартира,9,14,"ул. Усачева, д. 11",Фрунзенская,0.5
8500000,"61,6",3-к. квартира,1,2,"3-я Сестрорецкая ул., 10",р-н Молжаниновский,
4100000,"13,5",Квартира-студия,1,5,"Тушинская ул., 6",Тушинская,0.8
4980000,"31,8",1-к. квартира,4,5,"ул. Юных Ленинцев, 71к3",Кузьминки,0.5
48000000,"84,2",1-к. апартаменты,50,85,"ул. Кузнецкий Мост, д. 12/3, стр. 1, 2",Кузнецкий мост,0.2
7800000,"49,5",2-к. квартира,3,21,"пр-т Волгоградский, Апарт-комплекс «HighWay»",Волгоградский проспект,0.2
20000000,"71,2",2-к. квартира,9,14,"Южный административный округ, Даниловский район, к1А",Технопарк,0.8
8100000,40,2-к. квартира,3,6,"ул. Федосьино, 2",Рассказовка,0.5
11600000,"52,9",2-к. квартира,8,16,"Ферганский пр., 7к5",Юго-Восточная,1.3
12950000,62,3-к. квартира,7,9,"Самаркандский б-р, 17к3",Юго-Восточная,1.1
10988802,"33,1",Квартира-студия,3,9,"ул. Верхняя Масловка, 20с1",Петровский парк,0.6
23586676,"83,1",2-к. квартира,3,51,"пр-д Шмитовский, вл. 39, корп. 5",Шелепиха,0.3
12300000,"44,3",1-к. квартира,14,15,"Перовская ул., 66к4",Перово,1.1
13500000,64,3-к. квартира,1,9,"Чертановская ул., 33к2",Пражская,0.7
5380000,"40,5",Квартира-студия,3,3,"д. Рассказовка, Сказочная ул., 40",Рассказовка,1.6
11000000,"44,3",2-к. квартира,6,9,"Чертановская ул., 49к2",Улица академика Янгеля,1.0
11500000,"58,6",3-к. квартира,2,9,"Ферганский пр., 10к2",Юго-Восточная,1.0
11800000,54,2-к. квартира,2,10,"Южнобутовская ул., 123",Бунинская аллея,0.5
12000000,44,2-к. квартира,5,5,"Волгоградский пр-т, 127к1",Кузьминки,0.2
18500000,"74,5",3-к. квартира,10,17,"Флотская ул., 74",Коптево,2.1
3500000,"13,9",Квартира-студия,1,4,"ул. Фабрициуса, 34к2",Сходненская,0.7
40000000,"84,6",1-к. апартаменты,14,85,"1-й Красногвардейский пр-д, д. 21, стр. 2",Международная,0.1
3650000,15,Квартира-студия,1,12,"Россошанская ул., 7к1",Улица академика Янгеля,0.6
31400000,80,3-к. квартира,5,5,"Щетининский пер., 12",Полянка,0.5
41191150,"57,6",1-к. апартаменты,6,19,"пр-т Академика Сахарова, 9",Красные ворота,0.5
11500000,62,2-к. квартира,12,25,"рабочий пос. Бутово, жилой комплекс Бутово Парк, 20к2",Улица Скобелевская,2.5
9926740,"34,6",1-к. квартира,5,21,"ул. Озёрная, стр. 2.3",Озёрная,0.7
8100000,"31,9",1-к. квартира,1,9,"Федоскинская ул., 3",Бабушкинская,2.4
43700000,114,3-к. квартира,23,39,"ул. Минская, д. 2",Минская,1.1
19500000,"42,1",1-к. квартира,5,12,"пр-д Проектриуемый No4062, вл. 6, стр. 3, 7, 9-13, 22, 23, 28-31",Технопарк,0.7
5590000,"23,6",Квартира-студия,2,27,"рабочий пос. Дрожжино, Новое ш., 8",Улица Скобелевская,3.4
49900000,122,3-к. квартира,2,13,"ул. Крылатские Холмы, 47",Крылатское,0.8
10000000,34,1-к. квартира,11,16,"ш. Энтузиастов, 82/2к1",Перово,1.6
11500000,37,2-к. квартира,3,9,"Первомайская ул., 14",Измайловская,0.5
21821800,"70,9",2-к. квартира,10,53,"пр-д Шмитовский, д. 39, корп. 1",Шелепиха,0.3
15000000,44,2-к. квартира,3,5,"Стройковская ул., 17/1",Пролетарская,0.5
15700000,"60,6",2-к. квартира,5,25,"Родниковая ул., 9Ак1",Саларьево,1.5
17950000,"77,9",3-к. квартира,10,14,"ул. Перерва, 52",Братиславская,0.6
50000000,112,3-к. апартаменты,4,7,"Шлюзовая наб., д. 2А",Павелецкая,0.5
11694858,"35,8",1-к. апартаменты,2,13,"пр-д 4-й Верхний Михайловский , вл. 1",Тульская,1.0
14400000,54,2-к. квартира,30,31,"ул. Поляны, 5",Улица Скобелевская,1.1
11955600,"72,9",3-к. квартира,2,14,"п. Десеновское, ул. 2-я Нововатутинская, жилые дома",,
34000000,"115,2",3-к. квартира,10,21,"ул. Мосфильмовская, д. 88, корп. 4",Раменки,0.8
16600000,58,3-к. квартира,2,9,"Нагатинская наб., 10",Нагатинская,1.1
11950000,59,3-к. квартира,5,9,"Шипиловский пр., 63к1",Домодедовская,1.1
16470000,65,3-к. квартира,10,12,"Мурановская ул., 12",Алтуфьево,1.1
10800000,39,1-к. квартира,5,12,"Староватутинский пр., 15",Бабушкинская,0.6
9700000,"34,9",1-к. квартира,4,9,"Сторожевая ул., 20",Лефортово,0.5
23700000,"76,5",3-к. квартира,4,5,"Студенческая ул., 35",Студенческая,0.4
8500000,"38,9",2-к. квартира,13,16,"Алма-Атинская ул., 7к2",Алма-Атинская,0.8
100000000,201,3-к. квартира,7,16,"Минская ул., 1Гк1",Ломоносовский проспект,1.1
20600000,70,2-к. квартира,9,24,"Чертановская ул., 43к3",Пражская,0.8
11990000,"54,3",2-к. квартира,8,16,"Ставропольская ул., 30",Люблино,0.6
27610000,"50,2",2-к. апартаменты,11,12,"Ленинградский пр-т, 36с36",Динамо,0.7
23000000,62,2-к. квартира,9,9,"Ленинградский пр-т, 77к3",Сокол,0.5
17960000,"60,3",3-к. квартира,5,9,"5-й Рощинский пр., 7/8",Тульская,0.5
12500000,60,3-к. квартира,8,9,"ул. Генерала Тюленева, 39",Тёплый стан,0.8
6330000,"45,4",2-к. квартира,6,9,"ул. Генерала Антонова, 4к1",Беляево,0.6
4100000,19,Квартира-студия,1,17,"Боровское ш., 23",Боровское шоссе,0.3
12900000,"35,4",1-к. квартира,2,12,"Большая Андроньевская ул., 20",Римская,0.8
8780000,35,1-к. квартира,12,12,"2-й Мосфильмовский пер., 10",Парк Победы,1.4
